car,posx,posy,vitesse,distance,BS,start,end,lifetime,lineid,roadid,Theta,Cdistance,NewLoad
5049,5785.681043,4273.448308,13.432913,520.9282,1,43843,43851,8,3184400,318440,0.73759163,538.035157,58
5067,5977.12801,4260.159137,10.942198,630.132799,1,43843,43933,90,3184400,318440,0.541722848,519.2414311,58
6055,5528.032346,3809.154845,14.741803,97.311573,1,43844,43972,128,3240620,324062,-0.480048707,118.5749553,58
6063,5527.081973,3809.081482,13.750692,947.814334,1,43850,43970,120,3240620,324062,-0.482837036,118.6787063,58
6066,5564.719865,3494.639992,12.320972,391.114383,1,43852,43916,64,31952150,3195215,-1.110085315,563.366126,58
5049,5617.170571,4289.93412,1.766194,466.043492,1,43857,43929,72,3184400,318440,1.008425511,561.3496159,58
5241,6041.183258,4120.156735,12.684548,780.582093,1,43858,43936,78,3025611,302561,0.324989609,321.2481354,58
5451,6034.377168,4115.143539,12.508987,780.744914,1,43860,43938,78,3025610,302561,0.321325,314.1584056,58
4761,5995.219802,4107.846712,14.592144,463.330535,1,43862,43934,72,1082001,108200,0.329523814,303.8391339,58
5233,5946.92367,4094.520735,13.618227,414.738824,1,43864,43936,72,3025621,302562,0.334441698,284.9933565,58
5464,6118.512488,3795.312636,13.653102,537.054278,1,43874,43920,46,31952161,3195216,-0.129262888,138.150795,58
4982,6179.36942,3806.263536,13.371747,595.596745,1,43876,43878,2,31952170,3195217,-0.106366766,122.6638837,58
4989,6181.908201,3811.29311,13.8184,1115.570912,1,43876,43928,52,31952171,3195217,-0.099931167,115.550992,58
5481,6154.944175,3799.234785,12.93006,572.405871,1,43876,43930,54,31952160,3195216,-0.118442828,132.6040387,58
